Kreis-Id; Stadt;Winterweizen;Roggen und Wintermenggetreide;Wintergerste;Sommergerste;Hafer;Triticale;Kartoffeln;Zuckerrüben;Winterraps;Silomais
08437;      Sigmaringen, Landkreis;64,8;/;67,5;52,9;48,3;/;/;/;36,9;450,5
2023;;;;;;;;;;;
08111;      Stuttgart, Stadtkreis;/;-;/;63,7;/;/;/;/;/;/
08115;      Böblingen, Landkreis;75,4;/;/;67,1;/;/;/;/;39,1;/
08116;      Esslingen, Landkreis;74,4;/;64,8;/;46,6;/;261,6;/;/;365,4
08117;      Göppingen, Landkreis;66,3;/;66,6;/;/;/;/;-;/;330,2
08118;      Ludwigsburg, Landkreis;71,2;/;69,9;58,7;47;/;292,9;604;/;372,8
08119;      Rems-Murr-Kreis, Landkreis;71,1;/;60,5;51,3;45,3;57,4;/;/;/;384,8
08121;      Heilbronn, Stadtkreis;/;-;/;/;-;-;/;/;/;/
08125;      Heilbronn, Landkreis;81,5;/;75,9;63,3;/;/;291,6;563,2;40,3;438,6
08126;      Hohenlohekreis, Landkreis;65,1;/;69,2;32,8;/;/;/;630,9;38,3;384,4
08127;      Schwäbisch Hall, Landkreis;71;/;69,2;40,2;/;77;/;777,3;40,5;430,3
08128;      Main-Tauber-Kreis, Landkreis;64,8;/;61,5;46,4;21,8;61,1;165,9;670,7;36;387,6
08135;      Heidenheim, Landkreis;74,6;/;/;36,7;/;/;/;/;/;/
08136;      Ostalbkreis, Landkreis;66,7;/;71,9;32,6;17,8;48,6;/;/;43;355,5
08211;      Baden-Baden, Stadtkreis;/;/;/;-;-;-;/;-;-;-
08212;      Karlsruhe, Stadtkreis;/;/;/;/;/;-;/;-;-;/
08215;      Karlsruhe, Landkreis;70,1;49,1;66,5;61,4;36,6;/;475,6;753,9;38,3;/
08216;      Rastatt, Landkreis;64,9;/;/;/;/;/;/;/;/;/
08221;      Heidelberg, Stadtkreis;/;/;/;/;/;-;/;/;/;-
08222;      Mannheim, Stadtkreis;/;/;/;/;/;-;/;/;/;/
08225;      Neckar-Odenwald-Kreis, Landkreis;67,9;/;63,4;41;31,5;59,2;/;614,3;35,5;380,9
08226;      Rhein-Neckar-Kreis, Landkreis;77,7;53,1;72,9;58,3;49,8;/;/;720,3;36;363,1
08231;      Pforzheim, Stadtkreis;/;/;/;-;/;/;/;-;-;/
08235;      Calw, Landkreis;77,8;/;/;/;/;/;/;/;/;/
08236;      Enzkreis, Landkreis;78,6;/;70,2;60,2;/;/;/;/;43,9;320
08237;      Freudenstadt, Landkreis;70,8;/;/;39,6;/;/;175,3;-;40,6;412,8
08311;      Freiburg im Breisgau, Stadtkreis;/;/;/;/;/;/;/;-;-;-
08315;      Breisgau-Hochschwarzwald, Landkreis;83,1;/;67,3;/;/;/;471,7;/;/;289,9
08316;      Emmendingen, Landkreis;74,7;/;/;51,2;/;/;/;/;/;/
08317;      Ortenaukreis, Landkreis;79,8;/;67,9;/;52;/;/;/;34,5;/
08325;      Rottweil, Landkreis;74,7;/;74;37,7;27,8;/;/;/;40;453,9
08326;      Schwarzwald-Baar-Kreis, Landkreis;/;/;/;/;/;/;/;/;/;/
08327;      Tuttlingen, Landkreis;71;/;66;23;/;62,8;/;/;43,5;459,3
08335;      Konstanz, Landkreis;60,9;/;/;/;33,9;/;/;/;/;392,6
08336;      Lörrach, Landkreis;/;/;/;/;/;/;/;/;/;/
08337;      Waldshut, Landkreis;82,5;/;68,1;37,1;41,1;76,7;/;/;/;378,2
08415;      Reutlingen, Landkreis;64,5;44,7;68;27,7;26;69,2;/;/;40,8;365,7
08416;      Tübingen, Landkreis;73,1;/;66,7;55,5;35,7;/;/;/;48;/
08417;      Zollernalbkreis, Landkreis;58,6;/;60,4;/;26,1;50,6;/;-;37,9;385
08421;      Ulm, Stadtkreis;/;/;/;/;/;/;/;-;/;/
08425;      Alb-Donau-Kreis, Landkreis;77,3;/;71,7;42,4;/;77,6;/;/;44,3;393,2
08426;      Biberach, Landkreis;80,7;/;72,6;50,3;48,5;80,7;/;/;41,2;423
08435;      Bodenseekreis, Landkreis;79,5;/;77,2;59,3;60,5;/;/;/;/;222,5
08436;      Ravensburg, Landkreis;81,2;/;72,7;/;/;73,3;/;/;/;453,1
08437;      Sigmaringen, Landkreis;82,5;/;72,7;51,8;43,8;/;/;/;42,1;478,9
2022;;;;;;;;;;;
08111;      Stuttgart, Stadtkreis;/;/;/;62,8;/;/;/;706,1;/;/
08115;      Böblingen, Landkreis;81,9;/;/;70,9;/;/;/;/;39,4;/
08116;      Esslingen, Landkreis;91,2;/;69,1;/;/;/;/;/;/;397,9
08117;      Göppingen, Landkreis;82,5;/;75,1;/;/;/;/;-;/;353,6
08118;      Ludwigsburg, Landkreis;73,5;/;73,2;54,8;68,9;/;270,3;745,8;/;358
08119;      Rems-Murr-Kreis, Landkreis;63,1;/;68,4;/;62,8;68,8;/;/;/;446,6
08121;      Heilbronn, Stadtkreis;/;-;/;/;-;-;/;/;/;/
08125;      Heilbronn, Landkreis;76,8;/;79,4;61,2;/;/;340,3;675,6;45,5;349,2
08126;      Hohenlohekreis, Landkreis;65,4;/;72,5;44,6;41,2;/;/;664,7;38,2;343,4
08127;      Schwäbisch Hall, Landkreis;75,8;/;75,5;65,4;60,7;67,1;/;660,1;43,1;411,8
08128;      Main-Tauber-Kreis, Landkreis;61,7;/;64,3;45,8;32,3;51,1;131,6;692,7;37,1;222,1
08135;      Heidenheim, Landkreis;69,2;/;/;/;/;/;/;/;/;/
08136;      Ostalbkreis, Landkreis;78,5;/;77,2;37,8;37,2;/;/;/;42,6;404,1
08211;      Baden-Baden, Stadtkreis;/;/;/;-;-;-;/;-;-;-
08212;      Karlsruhe, Stadtkreis;/;/;/;/;/;/;/;-;-;/
08215;      Karlsruhe, Landkreis;75,9;48,4;68,7;56,4;55,4;/;466;663,8;47,3;/
08216;      Rastatt, Landkreis;65,4;/;/;/;/;/;/;-;/;/
08221;      Heidelberg, Stadtkreis;/;/;/;/;-;-;/;/;/;/
08222;      Mannheim, Stadtkreis;/;/;/;/;/;-;-;/;/;/
08225;      Neckar-Odenwald-Kreis, Landkreis;62;/;67;44,3;43;56,4;/;424,7;40,1;309,9
08226;      Rhein-Neckar-Kreis, Landkreis;73,8;43,8;72,5;59,9;65;/;/;794,9;47,1;360,7
08231;      Pforzheim, Stadtkreis;/;/;/;/;/;-;-;-;-;/
08235;      Calw, Landkreis;88,8;/;/;68,8;45,9;/;/;/;/;/
08236;      Enzkreis, Landkreis;83,9;/;72,6;/;/;/;/;/;48;359,7
08237;      Freudenstadt, Landkreis;77,8;/;/;51,4;70,9;64,7;397,4;-;42,9;429,8
08311;      Freiburg im Breisgau, Stadtkreis;/;/;/;/;/;/;/;-;-;/
08315;      Breisgau-Hochschwarzwald, Landkreis;90;/;76,3;49,2;/;/;458,1;/;/;252
08316;      Emmendingen, Landkreis;71,9;/;/;/;/;/;/;/;/;/
08317;      Ortenaukreis, Landkreis;74;/;53,8;/;58,3;60,7;/;/;/;/
