,Jahr,Kreis-Id, Stadt,Winterweizen
448,2016,08436,"      Ravensburg, Landkreis",65.9
449,2016,08437,"      Sigmaringen, Landkreis",62.7
452,2015,08115,"      Böblingen, Landkreis",87.2
453,2015,08116,"      Esslingen, Landkreis",79.7
454,2015,08117,"      Göppingen, Landkreis",79.9
455,2015,08118,"      Ludwigsburg, Landkreis",81.4
456,2015,08119,"      Rems-Murr-Kreis, Landkreis",72.8
458,2015,08125,"      Heilbronn, Landkreis",85.2
459,2015,08126,"      Hohenlohekreis, Landkreis",81.2
460,2015,08127,"      Schwäbisch Hall, Landkreis",83.9
461,2015,08128,"      Main-Tauber-Kreis, Landkreis",64.8
462,2015,08135,"      Heidenheim, Landkreis",68.8
463,2015,08136,"      Ostalbkreis, Landkreis",85.2
466,2015,08215,"      Karlsruhe, Landkreis",75.4
470,2015,08225,"      Neckar-Odenwald-Kreis, Landkreis",71.4
471,2015,08226,"      Rhein-Neckar-Kreis, Landkreis",72.8
473,2015,08235,"      Calw, Landkreis",82.0
474,2015,08236,"      Enzkreis, Landkreis",83.0
475,2015,08237,"      Freudenstadt, Landkreis",75.7
477,2015,08315,"      Breisgau-Hochschwarzwald, Landkreis",90.3
479,2015,08317,"      Ortenaukreis, Landkreis",86.0
480,2015,08325,"      Rottweil, Landkreis",70.5
481,2015,08326,"      Schwarzwald-Baar-Kreis, Landkreis",78.3
482,2015,08327,"      Tuttlingen, Landkreis",65.0
485,2015,08337,"      Waldshut, Landkreis",81.1
486,2015,08415,"      Reutlingen, Landkreis",59.2
487,2015,08416,"      Tübingen, Landkreis",74.7
488,2015,08417,"      Zollernalbkreis, Landkreis",60.5
490,2015,08425,"      Alb-Donau-Kreis, Landkreis",79.5
491,2015,08426,"      Biberach, Landkreis",85.8
492,2015,08435,"      Bodenseekreis, Landkreis",81.7
493,2015,08436,"      Ravensburg, Landkreis",78.7
494,2015,08437,"      Sigmaringen, Landkreis",80.1
497,2014,08115,"      Böblingen, Landkreis",92.3
498,2014,08116,"      Esslingen, Landkreis",75.5
499,2014,08117,"      Göppingen, Landkreis",79.6
500,2014,08118,"      Ludwigsburg, Landkreis",82.1
501,2014,08119,"      Rems-Murr-Kreis, Landkreis",74.1
503,2014,08125,"      Heilbronn, Landkreis",85.5
504,2014,08126,"      Hohenlohekreis, Landkreis",88.8
505,2014,08127,"      Schwäbisch Hall, Landkreis",90.4
506,2014,08128,"      Main-Tauber-Kreis, Landkreis",80.0
507,2014,08135,"      Heidenheim, Landkreis",75.0
508,2014,08136,"      Ostalbkreis, Landkreis",87.1
511,2014,08215,"      Karlsruhe, Landkreis",78.6
515,2014,08225,"      Neckar-Odenwald-Kreis, Landkreis",80.6
516,2014,08226,"      Rhein-Neckar-Kreis, Landkreis",72.9
518,2014,08235,"      Calw, Landkreis",90.4
519,2014,08236,"      Enzkreis, Landkreis",70.8
520,2014,08237,"      Freudenstadt, Landkreis",96.0
522,2014,08315,"      Breisgau-Hochschwarzwald, Landkreis",95.1
523,2014,08316,"      Emmendingen, Landkreis",81.1
524,2014,08317,"      Ortenaukreis, Landkreis",83.6
525,2014,08325,"      Rottweil, Landkreis",86.1
526,2014,08326,"      Schwarzwald-Baar-Kreis, Landkreis",90.6
527,2014,08327,"      Tuttlingen, Landkreis",77.6
528,2014,08335,"      Konstanz, Landkreis",76.3
530,2014,08337,"      Waldshut, Landkreis",71.1
531,2014,08415,"      Reutlingen, Landkreis",71.9
532,2014,08416,"      Tübingen, Landkreis",82.7
533,2014,08417,"      Zollernalbkreis, Landkreis",79.0
535,2014,08425,"      Alb-Donau-Kreis, Landkreis",85.6
536,2014,08426,"      Biberach, Landkreis",94.2
538,2014,08436,"      Ravensburg, Landkreis",91.8
539,2014,08437,"      Sigmaringen, Landkreis",91.2
542,2013,08115,"      Böblingen, Landkreis",83.8
543,2013,08116,"      Esslingen, Landkreis",56.0
544,2013,08117,"      Göppingen, Landkreis",64.5
545,2013,08118,"      Ludwigsburg, Landkreis",80.4
546,2013,08119,"      Rems-Murr-Kreis, Landkreis",75.1
548,2013,08125,"      Heilbronn, Landkreis",82.4
549,2013,08126,"      Hohenlohekreis, Landkreis",80.4
550,2013,08127,"      Schwäbisch Hall, Landkreis",79.4
551,2013,08128,"      Main-Tauber-Kreis, Landkreis",71.9
552,2013,08135,"      Heidenheim, Landkreis",68.2
553,2013,08136,"      Ostalbkreis, Landkreis",80.1
556,2013,08215,"      Karlsruhe, Landkreis",74.6
560,2013,08225,"      Neckar-Odenwald-Kreis, Landkreis",72.8
561,2013,08226,"      Rhein-Neckar-Kreis, Landkreis",69.1
563,2013,08235,"      Calw, Landkreis",81.6
564,2013,08236,"      Enzkreis, Landkreis",73.5
565,2013,08237,"      Freudenstadt, Landkreis",68.8
567,2013,08315,"      Breisgau-Hochschwarzwald, Landkreis",84.0
568,2013,08316,"      Emmendingen, Landkreis",82.2
569,2013,08317,"      Ortenaukreis, Landkreis",75.2
